Product Name,Old Price,New Price,Reviews,StarsPercent Discount
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black","KSh 28,599","KSh 21,499",(51),4.2 out of 5,25%
"Vitron HTC3200S 32"" Smart Frameless Android LED TV","KSh 18,069","KSh 13,189",(74),4.1 out of 5,27%
Hikers 32'' Digital Frameless HD LED TV-Black,"KSh 18,999","KSh 9,999",(47),4.2 out of 5,47%
"Vitron HTC3200S,32""Inch Frameless Smart Android TV NetflixYoutube+FREE TVGuard+Bracket","KSh 20,000","KSh 14,994",(765),4.3 out of 5,25%
"Skyworth 43E3A, 43"" Full HD Frameless Smart Android TV – Black","KSh 44,999","KSh 26,999",(256),4.6 out of 5,40%
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black,"KSh 20,999","KSh 12,939",(48),4.2 out of 5,38%
"Vitron 4388FS 43"" Full HD Smart TV Netflix Youtube /  Wall Bracket & Power GUARD","KSh 26,999","KSh 22,799",(346),4.3 out of 5,16%
"Vitron 4388FS,43"" Inch FRAMELESS Smart Android TV Netflix INBUILT DECODER+FREE BRACKET","KSh 30,000","KSh 22,999",(371),4.3 out of 5,23%
"Vision Plus VP8832DF 32"" HD Frameless Digital LED TV - Black + FREE WALL MOUNT","KSh 15,995","KSh 12,599",(329),4 out of 5,21%
"Vitron Smart 32"" FRAMELESS TV HTC3200S Netflix & Youtube +  Wall Bracket & Power Guard","KSh 17,999","KSh 14,249",(394),4.2 out of 5,21%
"Skyworth 50SUE9500, 50″ 4K QLED 2022 Frameless Smart Android TV – Black","KSh 54,999","KSh 42,999",(24),4.4 out of 5,22%
"Skyworth 55SUE9500, 55″ 4K QLED Smart Google TV – Grey","KSh 60,999","KSh 52,499",(39),4.9 out of 5,14%
"Vitron HTC3218F - 32"" HD Frameless LED Digital TV","KSh 15,514","KSh 10,849",(1),5 out of 5,30%
"Skyworth 32STD6500, 32” Full HD Frameless Smart Android TV – Black","KSh 28,999","KSh 16,999",(11),4.5 out of 5,41%
"Vitron 43"" Inch FHD Frameless Smart Android TV 8GBROM+FreeTVGuard+Extension","KSh 30,000","KSh 23,598",(256),4.2 out of 5,21%
"Vitron 3200S,32"" Inch TV Framelss Smart Android TV,NetflixYoutube+FREE TVGuard+Bracket","KSh 18,600","KSh 14,994",(195),4.1 out of 5,19%
"Vitron HTC3200S,32"" Inch Frameless Smart Android TV, Inbuilt Decoder Netflix, Appstore","KSh 18,000","KSh 14,395",(481),4.2 out of 5,20%
"Vitron 4388-FS 43""inch FHD Frameless Smart/Android TV InbuiltDecoder/+TVGuard+Bracket","KSh 30,000","KSh 23,589",(86),4.3 out of 5,21%
Vision Plus VP8832SF - 32″ Frameless Smart Android TV +  3 Months Showmax Subscription,"KSh 20,995","KSh 15,268",(90),4.2 out of 5,27%
Vitron HTC5068US 50” Smart Android 4K UHD LED TV - Black,"KSh 39,999","KSh 35,998",(22),4.3 out of 5,10%
"Vitron 3200S,32"" Inch Smart Android TV,NetflixYoutube, Appstore+FREE Extension+BRACKET","KSh 20,000","KSh 14,799",(140),4.1 out of 5,26%
"Vitron 43"" Inch FHD Frameless Smart Android TV INBUILT DECODER+FREE Bracket+Extension","KSh 30,000","KSh 23,499",(99),3.9 out of 5,22%
WEYON 24'' Digital D-LED TV + 1 Years Warranty - Black,"KSh 15,000","KSh 7,790",(16),3.1 out of 5,48%
Vitron 32 Inch FRAMELESS HD LED Digital TV DVBt2 +FREE WALL BRACKET,"KSh 20,500","KSh 12,399",(12),4.3 out of 5,40%
"Vitron 4388FS/43""Inch Frameless Smart Android TVYoutubeNetflix/1GBAM/8GB ROM","KSh 22,999","KSh 22,795",(179),4.3 out of 5,1%
"Vitron HTC3218F - 32"" HD Frameless LED Digital TV Inbuilt StarTimes Decoder - Black","KSh 15,419","KSh 11,099",(68),4.2 out of 5,28%
Gotv Decoder + 1 Months Gotv Max Subscription.,"KSh 2,499","KSh 2,245",(885),4.2 out of 5,10%
"Vitron 32"" Inches Android &Smart  TV,Netflix,HDMI,Decoder+Gifts","KSh 30,000","KSh 15,385",(29),4.4 out of 5,49%
"Vitron HTC3218,Frameless 32"" Inch Digital LED Television USB HDMI +FREE Wall Bracket","KSh 16,000","KSh 12,699",(172),4.4 out of 5,21%
"Vitron 4068, 40"" Smart Android TV, Netflix, Youtube - Black","KSh 22,999","KSh 18,979",(109),4.4 out of 5,17%
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,"KSh 29,999","KSh 21,599",(18),4.5 out of 5,28%
"XIAOMI Mi TV P1, 55"" 4K Ultra HD Android Smart LED TV, 2GB RAM + 16GB ROM - Black","KSh 74,999","KSh 47,499",(19),4.5 out of 5,37%
Generic MXQ PRO 4K Android 11 Smart TV Box,"KSh 5,000","KSh 2,750",(21),4.1 out of 5,45%
"Vitron HTC3218 HD Frameless 32"" LED Digital TV Inbuilt Decoder","KSh 14,999","KSh 11,999",(22),4.5 out of 5,20%
Hifinit 32E3D 32 Inch Frameless Digital HD Ready LED TV - Black+Free Latest WALL MOUNT,"KSh 20,135","KSh 12,399",(65),4.3 out of 5,38%
"Vitron HTC4388FS,43''SMART TV Android Frameless TV,NetflixYoutube+FREE TVGuard+Bracket","KSh 30,000","KSh 23,589",(296),4.3 out of 5,21%
"Vision Plus VP8843SF - 43"" FHD Frameless Android OS Smart TV - Black","KSh 29,995","KSh 25,525",(71),4.3 out of 5,15%
"Vitron HTC3200S Frameless 32"" Inch Television Smart Android TV+ FREE TV Guard+Bracket","KSh 18,000","KSh 14,990",(294),4.1 out of 5,17%
